algoritmo,n,tipo,dominio,muestra,tiempo_segundos,memoria_peak_kb
naive,16,dispersa,D0,a,1.483e-06,4052
strassen,16,dispersa,D0,a,2.154e-06,4308
naive,16,dispersa,D0,b,1.252e-06,4308
strassen,16,dispersa,D0,b,1.562e-06,4308
naive,16,dispersa,D0,c,1.443e-06,4308
strassen,16,dispersa,D0,c,1.933e-06,4308
naive,16,dispersa,D10,a,1.232e-06,4308
strassen,16,dispersa,D10,a,2.204e-06,4308
naive,16,dispersa,D10,b,1.543e-06,4308
strassen,16,dispersa,D10,b,1.382e-06,4308
naive,16,dispersa,D10,c,1.233e-06,4308
strassen,16,dispersa,D10,c,1.383e-06,4308
naive,16,diagonal,D0,a,1.223e-06,4308
strassen,16,diagonal,D0,a,1.353e-06,4308
naive,16,diagonal,D0,b,1.223e-06,4308
strassen,16,diagonal,D0,b,1.342e-06,4308
naive,16,diagonal,D0,c,1.233e-06,4308
strassen,16,diagonal,D0,c,1.984e-06,4308
naive,16,diagonal,D10,a,1.643e-06,4308
strassen,16,diagonal,D10,a,1.713e-06,4308
naive,16,diagonal,D10,b,1.483e-06,4308
strassen,16,diagonal,D10,b,1.543e-06,4308
naive,16,diagonal,D10,c,1.452e-06,4308
strassen,16,diagonal,D10,c,1.523e-06,4308
naive,16,densa,D0,a,1.462e-06,4308
strassen,16,densa,D0,a,1.943e-06,4308
naive,16,densa,D0,b,1.413e-06,4308
strassen,16,densa,D0,b,1.573e-06,4308
naive,16,densa,D0,c,1.573e-06,4308
strassen,16,densa,D0,c,1.793e-06,4308
naive,16,densa,D10,a,1.794e-06,4308
strassen,16,densa,D10,a,1.683e-06,4308
naive,16,densa,D10,b,1.883e-06,4308
strassen,16,densa,D10,b,1.883e-06,4308
naive,16,densa,D10,c,1.232e-06,4308
strassen,16,densa,D10,c,2.034e-06,4308
naive,64,dispersa,D0,a,5.0504e-05,4436
strassen,64,dispersa,D0,a,7.8236e-05,4436
naive,64,dispersa,D0,b,5.0464e-05,4436
strassen,64,dispersa,D0,b,6.2136e-05,4436
naive,64,dispersa,D0,c,5.0374e-05,4436
strassen,64,dispersa,D0,c,7.9749e-05,4436
naive,64,dispersa,D10,a,5.0504e-05,4436
strassen,64,dispersa,D10,a,7.5511e-05,4436
naive,64,dispersa,D10,b,6.2858e-05,4436
strassen,64,dispersa,D10,b,5.8109e-05,4436
naive,64,dispersa,D10,c,5.0545e-05,4436
strassen,64,dispersa,D10,c,6.1145e-05,4436
naive,64,diagonal,D0,a,5.6326e-05,4436
strassen,64,diagonal,D0,a,5.9551e-05,4436
naive,64,diagonal,D0,b,6.5252e-05,4436
strassen,64,diagonal,D0,b,0.000113685,4436
