algoritmo,n,tipo,dominio,muestra,tiempo_segundos,memoria_peak_kb
std_sort,10,ascendente,D1,a,5.31e-07,4156
mergesort,10,ascendente,D1,a,1.293e-06,4412
quicksort,10,ascendente,D1,a,3.11e-07,4412
patiencesort,10,ascendente,D1,a,1.794e-06,4412
std_sort,10,ascendente,D1,b,2.41e-07,4412
mergesort,10,ascendente,D1,b,7.01e-07,4412
quicksort,10,ascendente,D1,b,2.9e-07,4412
patiencesort,10,ascendente,D1,b,1.894e-06,4412
std_sort,10,ascendente,D1,c,2.8e-07,4412
mergesort,10,ascendente,D1,c,7.81e-07,4412
quicksort,10,ascendente,D1,c,3.41e-07,4412
patiencesort,10,ascendente,D1,c,2.264e-06,4412
std_sort,10,ascendente,D7,a,2.21e-07,4412
mergesort,10,ascendente,D7,a,5.81e-07,4412
quicksort,10,ascendente,D7,a,2.3e-07,4412
patiencesort,10,ascendente,D7,a,1.663e-06,4412
std_sort,10,ascendente,D7,b,3.31e-07,4412
mergesort,10,ascendente,D7,b,1.062e-06,4412
quicksort,10,ascendente,D7,b,3.81e-07,4412
patiencesort,10,ascendente,D7,b,2.554e-06,4412
std_sort,10,ascendente,D7,c,2.2e-07,4412
mergesort,10,ascendente,D7,c,5.31e-07,4412
quicksort,10,ascendente,D7,c,1.8e-07,4412
patiencesort,10,ascendente,D7,c,1.092e-06,4412
std_sort,10,descendente,D1,a,3.6e-07,4412
mergesort,10,descendente,D1,a,7.22e-07,4412
quicksort,10,descendente,D1,a,3.21e-07,4412
patiencesort,10,descendente,D1,a,8.82e-07,4412
std_sort,10,descendente,D1,b,3.5e-07,4412
mergesort,10,descendente,D1,b,8.41e-07,4412
quicksort,10,descendente,D1,b,3.41e-07,4412
patiencesort,10,descendente,D1,b,8.71e-07,4412
std_sort,10,descendente,D1,c,3.91e-07,4412
mergesort,10,descendente,D1,c,8.01e-07,4412
quicksort,10,descendente,D1,c,3.71e-07,4412
patiencesort,10,descendente,D1,c,8.62e-07,4412
std_sort,10,descendente,D7,a,2.11e-07,4412
mergesort,10,descendente,D7,a,5.61e-07,4412
quicksort,10,descendente,D7,a,2.31e-07,4412
patiencesort,10,descendente,D7,a,7.01e-07,4412
std_sort,10,descendente,D7,b,2.61e-07,4412
mergesort,10,descendente,D7,b,6.71e-07,4412
quicksort,10,descendente,D7,b,3.2e-07,4412
patiencesort,10,descendente,D7,b,7.11e-07,4412
std_sort,10,descendente,D7,c,3.31e-07,4412
mergesort,10,descendente,D7,c,7.62e-07,4412
quicksort,10,descendente,D7,c,2.71e-07,4412
patiencesort,10,descendente,D7,c,7.31e-07,4412
